,id,plan_name,date_added,suggested_by,url,plan_resolution,planning_method,aquisition,easement,stewardship,habit,water_quality,resource_species,community_resilience,gulf_economy,code,related_state,status,is_new,existing_planid,username
68,411,"Honeymoon Island State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/parks/planning/parkplans/HoneymoonIslandStatePark.pdf#,geomorphological,NULL,NULL,yes,NULL,"fire management, solution to restore marine unconsolidated substrate, protect seagrass beds",NULL,"remove invasive species, protect shroebirds and turles","enlist volunteers, provide quality programs, seek funding for new facilities and programs",NULL,BI,,,,,
69,412,Indian Key Historic State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/IndianKeyHistoricStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,"restore natural habitats, restore marine grass bed community","water quality and quantity, restore hydrology","remove invasive species, protect imperiled species","provide public access, update interpretive plan, improve facilities",NULL,CH,,,,,
70,413,John Pennekamp Coral Reef State Park Approved Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/JohnPennekampCoralReefStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, fire management","water quality and quantity, restore hydrology, restore functions to nearshore submerged resources","protect imperiled species, remove invasive species, population dynamics of Schaus's swallowtail butterfly","provide public access, improve 5 facilities and .36 miles of trail",NULL,CH,,,,,
71,414,Lignumvitae Key Botanical State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/LignumvitaeKeyBotanicalStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, restore damaged marine grass bed community","water quality and quantity, resotre hydrology, assessment of solution holes","protect imperiled species, remove invasive species, augment Keys tree cactus, population dynamics of Schaus' swallowtail butterfly","provide public access, improve existing facilities",NULL,CH,,,,,
72,415,Long Key State Park Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/LongKeyStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore seagrass beds","water quality and quantits, resotre hydrology, restore functions to Keys cactus barren habitat","protect imperiled species, remove invasive species","provide public access, 2 new programs, improve 5 facilities",NULL,BI,,,,,
73,416,"Mound Key Archaeological State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://dep.state.fl.us/parks/planning/parkplans/MoundKeyArchaeologicalStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"prevent further disturbance, eliminate erosion",NULL,"protect imperiled species, remove invasive species","provide recreational opportunities, seek funding for new programs, establish park presence",NULL,CH,,,,,
74,417,"Ochlockonee River State Park Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/OchlockoneeRiverStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, fire management, protect cultural resources",NULL,"plant survey, monitor gopher tortoises and Red Cockaded Woodpecker, remove invasive species, evaluate restoration of borrow pit","provide programs and facilities, seek funding for new programs, support land use policies",NULL,CP,,,,,
75,418,"Perdido Key State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/PerdidoKeyStatePark.pdf#,geomoprhological,NULL,yes,yes,NULL,"restore natural habitats, conduct beach dune restoration after storms","protect water quality and quantity, restore hydrology, restore functions of coastal interdunal swale natural community","protect imperiled species, remove invasive species, prevent light pollution, augment population of Perdido Key beach mouse","provide public access, new programs, improve 2 facilities, 1 new facility",NULL,BI,,,,,
76,419,San Marcos de Apalache Historic State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/SanMarcosdeApalacheHistoricStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitat, protect cultural resources, fire management ","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species","provide public access, enhance 1 interpretive feature, 1 new facility",NULL,CH,,,,,
77,420,San Pedro Underwater Archaeological Preserve State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/SanPedroUnderwaterArchaeologicalPreserveStatePark.pdf#,geomorphological,NULL,NULL,yes,NULL,"restore natural habitats, protect cultural resources","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species","provide public access, maintain facilities",NULL,CH,,,,,
78,421,"Skyway Fishing Piers State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/SkywayFishingPierStatePark.pdf#,geopolitical,NULL,NULL,yes,NULL,NULL,NULL,keep upland portion free of exotic plants,"manage for saltwater fishing, provide more recreational opportunities",NULL,REG,,,,,
79,422,St. Andrews State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/StAndrewsStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, fire management, stabilize shoreline, improve beach dunes and scrub","water quality and quantity, restore hydrology, restore functions of mesic flatwoods natural community","protect imperiled species, remove invasive species, augment Choctwatchee beach mice, reduce American alligator disturbance","provide public access, 5 new programs, improve 6 facilities and 0.4 mile of road, new 1.2 miles of trail",NULL,CP,,,,,
80,423,"Stump Pass State Park Unit Management Plan, Approved",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/StumpPassBeachStatePark.pdf#,geomorpholoigcal,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, restore beach dune and marine unconsolidated substrate, erosion control project","water quality and quantity, restore hydrology","protect imperiled species, remove invasive species, protect shorebird nesting areas","provide public access, 3 new programs, improve 3 facilities, 1 new facility",NULL,BI,,,,,
81,424,T.H. Stone Memorial St. Joseph Peninsula State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/StJosephPeninsulaStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore beach dune community, reclaim land cover-borrow pit to basin marsh, improve altered land cover-claring to scrub","water quality and quantity, restore hydrology, restore functions of salt marsh and wet prairie natural communities","protect imperiled species, remove invasive species, augement gopher tortoise population, protect shroebirds","provide public access, various educational programs, 7 new programs, improve 5 facilities and 1.9 miles of road, develop master plan to improve existing use areas, 14 new facilities and 1 mile of trail",NULL,BI,,,,,
82,425,Tarkiln Bayou Preserve State Park Unit Management Plan: Approved,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/TarkilnBayouPreserveStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore shrub bog and wet prairie","water quality and quantity, restore hydrology, restore functions to shrub bog and wet flatwoods and wet prairie","protect imperiled species, remove invasive species, reintroduce flatwoods salamander","provide public access, new programs, improve 1 facility and 1 mile of road, 4 new facilities and 5 miles of trail and 1 mile of road",NULL,BI,,,,,
83,426,Terra Ceia Preserve State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/parks/planning/parkplans/TerraCeiaPreserveStatepark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, SWIM/SWFWMD projects","water quality and quantity, restore hydrology, restore functions of marsh lake and depreession marsh and mesic hammock, SWIM/SWFWMD projects","protect imperiled species, remove invasive species","provide public access, 3 programs, improve 1 facility, 10 new facilities and 6.5 miles of trail and 0.45 mile of road",NULL,CP,,,,,
84,427,Topsail Hill Preserve State Park Unit Management Plan: Approved,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/TopsailHillPreserveStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, restore wet flatwoods and seepage slope and wet prairie and dome swamp, fire management","water quality and quantity, restore hydrology, restore functions of coastal dune lakes, conduct monthly data","protect imperiled species, remove invasive species, protect nesting sites for mice and turtles and shorebirds","provide public access, 15 new programs, improve 5 facilities and 1.1 miles of tram path",NULL,CP,,,,,
85,428,Waccasassa Bay Preserve State Park Unit Management Plan: Approved,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/WaccasassaBayPreserveStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, improve mesic flatwoods","water quality and quantity, restore hydrology, restore functions of hydric hammock natural community","protect imperiled species, remove invasive species","provide public access, 2 new programs, improve 4 existing facilities, 1 new facility",NULL,CH,,,,,
86,429,Werner-Boyce Salt Springs State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/WernerBoyceSaltSpringsStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, fire management, restore scrubby flatwoods, monitor seagrass beds","water quality and quantity, resotre hydrology, restore functions of salt marsh and mesic flatwoods by filling mosquito ditches","protect imperiled species, remove ivnasive species, monitor 4 Southern bald eagle nests","provide public access, 10 new programs, improve 25 facilities and 16.6 miles of trail and 0.3 miles of road, 9 new facilities and 7.5 miles of trail and 0.25 mile of road",NULL,CP,,,,,
87,430,Windley Key Fossil Reef Geological State Park Approved Unit Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/planning/parkplans/WindleyKeyFossilReefGeologicalStatePark.pdf#,geomorphological,NULL,yes,yes,NULL,"restore natural habitats, protect cultural resources, maintenance of rockland hammock and Keys cactus barren","water quality and quantity, resotre hydrology, stormwater management","protect imperiled species, remove invasive species, reintroduce Keys tree cactus, study green iguana impact","provide public access, improve visitor center and trails and support areas, 1 new facility",NULL,BI,,,,,
88,431,Yellow River Marsh Preserve State Park Unit Management Plan: Approved,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/parks/planning/parkplans/YellowRiverMarshPreserveStatePark.pdf#,geopolitical,NULL,yes,yes,NULL,"restore natural habitats, evalutate timber assessment, fire management, protect preserve boundaries, protect natural resources","protect water quality, work with CAMA and NWFWMD, water corssings, inventory of hydrological changes and impacts","protect diversity, survey for flatwoods salamanders, remove invasive species, track listed species","provide recreational opportunities, seek funding for improvements, increase staff and funding",NULL,CP,,,,,
89,432,Marjorie Harris Carr Cross Florida Greenway Management Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://atfiles.org/files/pdf/CrossFLgreenwayMgmtPlan.pdf#,geopolitical,NULL,yes,yes,NULL,"reduce erosion, fire management, scrub and sandhill and mesic/flatwoods and hydric hammock resotration, GIS map, protect historic sites",restore natural flow ways and water quality,"protect native species, protect listed species, gopher tortoise relocation, remove invasive species","establish security, educate public, provide public access, encourage recreational acitivites ",NULL,REG,,,,,
90,433,ARC Recommended 2015 Florida Forever Priority List,2018-02-27,FL Fish and Wildlife Conservation Commission,https://depnewsroom.files.wordpress.com/2014/12/arc-recommended-2015-florida-forever-priority-list.pdf#,geopolitical,NULL,yes,yes,yes,"critical historical resources, climate change lands, critical natural lands, less-than-fee",NULL,NULL,partnerships and regional incentives ,NULL,ST,,,,,
91,434,Critically Eroded Beaches in Florida,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/beaches/publications/pdf/CriticalErosionReport.pdf#,geopolitical,NULL,NULL,NULL,yes,identification of cirtically eroded beaches and inlets and non-critically eroded beaches and inlets ,NULL,NULL,NULL,NULL,ST,,,,,
92,435,Final Assessment and Strategies FY 2016 – FY 2020 Section 309 of the Coastal Zone Management Act,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/cmp/publications/FCMP_FY2016-20 Section_309_AS_FINAL_2015-12-15.pdf#,geopolitical,NULL,yes,yes,yes,"protect and new coastal wetlands, prevent and reduce threats, special area management plans","reduce marine debris, evaluate aquaculture facilities, update plans for 41 aquatic preserves","plan for use of coastal resources, establish comprehensive statewide Ecosystem Assessment Program and Florida's coastal resources, procedures for impacts of coastal growth and development","public access, energy facilities, financial and technical assistance, Visitor Use Monitoring Protocol",NULL,ST,,,,,
93,436,Florida Assessment of Coastal Trends,2018-02-27,FL Fish and Wildlife Conservation Commission,file:///C:/Users/emmas/Downloads/FACT2010%20(1).pdf,geopolitical,NULL,NULL,NULL,yes,indicators,indicators,indicators,indicators ,indicators ,ST,,,,,
94,437,Florida Coastal Office Gulf Priority Projects Plan 2016,2018-02-27,FL Fish and Wildlife Conservation Commission,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
95,438,Florida Forever Five Year Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://publicfiles.dep.state.fl.us/DSL/FFWeb/Current%20Florida%20Forever%20Five-Year%20Plan.pdf,geopolitical,NULL,yes,NULL,NULL,current blueprint,current blueprint,current blueprint,current blueprint,NULL,ST,,,,,
96,439,Florida Marine Debris Reduction Guidance Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/cmp/publications/FL_Marine_Debris_Reduction_Plan_2017.pdf#,geopolitical,NULL,NULL,yes,yes,reduce impacts on habitats,reduce amount of marine debris,reduce impacts on wildlife,education and outreach,NULL,ST,,,,,
97,440,Outdoor Recreation in Florida 2013: Florida's Statewide Comprehensive Outdoor Recreation Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/parks/outdoor/scorp.htm#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
98,441,State of the Coast Report,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/cmp/publications/coast_report.pdf#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
99,442,Statewide Comprehensive Verified List of Impaired Waters (updated annually),2018-02-27,FL Fish and Wildlife Conservation Commission,https://floridadep.gov/sites/default/files/Comprehensive-Verified-List_08182020.xlsx,geopolitical,NULL,NULL,NULL,yes,NULL,list of impaired waters,NULL,NULL,NULL,ST,,,,,
100,443,Strategic Beach Management Plan­- Introduction,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.dep.state.fl.us/beaches/publications/pdf/SBMP/SBMP-Introduction.pdf#,geopolitical,NULL,NULL,yes,yes,summarizes strategies the state of Florida uses to manage the coastline in critically eroded beach segments,NULL,NULL,NULL,NULL,ST,,,,,
101,444,The Florida Beaches Habitat Conservation Plan: A Brochure,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.dep.state.fl.us/beaches/publications/pdf/HCPBrochure09.pdf#,geopolitical,NULL,yes,yes,yes,dealing with the costal construction control line ,NULL,FDEP applying for incidental take permit,NULL,NULL,ST,,,,,
102,445,Florida Keys Overseas Heritage Trail Master Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,https://floridadep.gov/sites/default/files/FloridaKeysOverseasHeritageTrail.pdf,geopolitical,NULL,yes,yes,yes,provide coordination with trail related environmental enhancements such as a habitat restoration,restore hsitoric tidal flow,preserve resources,"education and outreach, establish a trail across the entire Florida Keys",promote sustainable economic development ,REG,,,,,
103,446,State of Florida Conservation Plan for Gulf Sturgeon (Acipenser oxyrinchus desotoi),2018-02-27,FL Fish and Wildlife Conservation Commission,http://aquaticcommons.org/119/1/TR8.pdf#,geomorphological,NULL,yes,yes,yes,critical habitat be indeitified and protected,"assess water quality, reduce nutrient and sediment inputs to river systems",protect gulf sturgeon,"education and outreach, stop bycatch from nondirected fisheries ",NULL,CH,,,,,
104,447,Wildlife Habitat Conservation Needs in Florida Updated Recommendations for Strategic Habitat Conservation Areas,2018-02-27,FL Fish and Wildlife Conservation Commission,http://aquaticcommons.org/26921/1/FWRI_TR-15.pdf.pdf,geopolitical,NULL,yes,yes,yes,identify minimum land needed for long term survival of biodiversity,NULL,protect species and their habitat,NULL,NULL,ST,,,,,
105,448,"A Regional Assessment of Florida Manatees (Trichechus manatus latirostris) and the Caloosahatchee River, Florida",2018-02-27,FL Fish and Wildlife Conservation Commission,http://aquaticcommons.org/121/1/TR10_c.pdf#,geopolitical,NULL,NULL,NULL,yes,manatee habitats,manatee water needs,threats to manatees and deaths,community affects on manatees,NULL,CP,,,,,
106,449,"A Review of the Biology and Management of Horseshoe Crabs, with Emphasis on Florida Populations",2018-02-27,FL Fish and Wildlife Conservation Commission,http://aquaticcommons.org/123/1/TR12.pdf#,geomorphological ,NULL,NULL,NULL,yes,horseshoe crab habitat,horseshoe crab water conditions,infromation and assessment of horseshoe crab,education and outreach,horseshoe crab fishery,CH,,,,,
107,450,Northwest Regional Assessment,2018-02-27,FL Fish and Wildlife Conservation Commission,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
108,451,"A Species Action Plan for Imperiled Beach-Nesting Birds: American oystercatcher (Haematopus palliatus), Snowy plover (Charadrius nivosus), Least tern (Sternula antillarum), Black skimmer (Rynchops niger) ",2018-02-27,FL Fish and Wildlife Conservation Commission,https://flshorebirdalliance.org/media/1013/imperiled-beach-nesting-birds-species-action-plan.pdf,geopolitical,NULL,NULL,yes,yes,preserve and restore habitat,NULL,"maintain minnimum breeding population, determine productivity rates, develop incidental take permitting system","provide guidance to land managers, incentives for land owners, education and outreach",NULL,ST,,,,,
109,452,A Species Action Plan for the Brown Pelican (Pelecanus occidentalis),2018-02-27,FL Fish and Wildlife Conservation Commission,https://myfwc.com/media/2112/brown-pelican-species-action-plan-final-draft.pdf,geopolitical,NULL,yes,yes,yes,protect and restore habitat,investigate water quality changes,protect the brown pelican,"provide guidance to land managers and land owners, education and outreach",birding economic impact,ST,,,,,
110,453,A Species Action Plan for the Key Silverside (Menidia conchorum),2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.myfwc.com/media/2718852/Key-Silverside-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,NULL,yes,yes,protect and identify habitat,NULL,protect key silverside,"education and outreach, provide guidance to landowners and managers",NULL,REG,,,,,
111,454,A Species Action Plan for the Mangrove Rivulus (Kryptolebias marmoratus),2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2720112/Mangrove-Rivulus-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,NULL,yes,yes,protect and identify habitat,NULL,protect and delist mangrove rivulus,education and outreach ,NULL,REG,,,,,
112,455,A Species Action Plan for the Osprey of Monroe County (Pandion haliaetus) ,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2720115/Osprey-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,yes,yes,yes,protect and improve habitat,improve water quality of Florida Bay,protect osprey,education and outreach,NULL,CP,,,,,
113,456,A Species Action Plan for the Pillar Coral (Dendrogyra cylindrus),2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2720118/Pillar-Coral-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,NULL,yes,yes,critical habitat designation,NULL,protect pillar coral,education and outreach,NULL,REG,,,,,
114,457,A Species Action Plan for the Saltmarsh Topminnow (Fundulus jenkinsi),2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2738846/Saltmarsh-Topminnow-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,yes,yes,yes,protect habitat,restore hydrology,delist slatmarsh minnow,education and outreach,NULL,REG,,,,,
115,458,A Species Action Plan for the Sanibel Island Rice Rat (Oryzomys palustris sanibeli),2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.myfwc.com/media/2718861/Sanibel-Island-Rice-Rat-Species-Action-Plan-Final-Draft.pdf#,geomorphological,NULL,NULL,yes,yes,protect and improve habitat,NULL,sanibel island rice rat is secure within historical range,education and outreach,NULL,BI,,,,,
116,459,A Species Action Plan for the White-Crowned Pigeon (Patagioenas leucocephala),2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2738292/White-Crowned-Pigeon-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,yes,yes,yes,protect and improve habitat,NULL,white crowned pigeon is secure within historical range,education and outreach,NULL,REG,,,,,
117,460,"Species Action Plan for Four Saltmarsh Songbirds: Scott’s Seaside Sparrow (Ammodramus maritimus peninsulae), Wakulla Seaside Sparrow (Ammodramus maritimus juncicola), Marian’s Marsh Wren (Cistothorus palustris marianae), Worthington’s Marsh Wren (Cistothorus palustris griseus)",2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2738837/Saltmarsh-Songbird-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,yes,yes,yes,protect and improve habitat,NULL,species are secure within their historical range ,education and outreach,NULL,REG,,,,,
118,461,"Species Action Plan for Six Imperiled Wading Birds: Little Blue Heron (Egretta caerulea), Reddish Egret (Egretta rufescens), Roseate Spoonbill (Platalea ajaja), Snowy Egret (Egretta thula), Tricolored Heron (Egretta tricolor), White Ibis (Eudocimus albus) 
",2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2738289/Wading-Birds-Species-Action-Plan-Final-Draft.pdf#,geopolitical,NULL,yes,yes,yes,protect and improve habitat,protect and improve water quality,delist species,education and outreach,NULL,ST,,,,,
119,462,A Conceptual Management Plan for Box-R Wildlife Management Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/132228/CMP_Box-R_2006-2016.pdf#,geopolitical,NULL,yes,yes,NULL,imrpove and protect habitat,water quality and quantity,"protect impreiled species, remove invasive species",recreational opportunities,NULL,REG,,,,,
120,463,A Management Plan for Apalachicola River Wildlife and Environmental Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3008708/cmp-apalachicola-river-2014-2024.pdf#,geopolitical,NULL,yes,yes,NULL,restoration and improvement,water wuality and quantity,"protect imperiled species, remove invasive species",recreational opportunities,NULL,REG,,,,,
121,464,A Management Plan for Big Bend Wildlife Management Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/4112985/BBWMA-ManagementPlan-2016-26.pdf#,geopolotical,NULL,yes,yes,NULL,restoration and improvement,water quality and quantity,"protect impreiled species, remove invasive species",recreational opportunties,NULL,CP,,,,,
122,465,A Management Plan for Chassahowitzka Wildlife Management Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3009646/cmp-chassahowitzka-wma-2014-2024.pdf#,geopolitical,NULL,yes,yes,NULL,restoration and improvement,water quality and quantity,"protect imperiled species, remove invasive species",recreational opportunities,NULL,CP,,,,,
123,466,A Management Plan for Fred C. Babcock - Cecil M. Webb Wildlife Management Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3032072/CMP-Babcock-Webb.pdf#,geopolitical,NULL,yes,yes,NULL,restoration and improvement,water quality and quantity,"protect imperiled species, remove invasive species",recreational opportunities,NULL,REG,,,,,
124,467,A Management Plan for the Escribano Point Wildlife Management Area,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3053003/CMP-EscribanoPoint-2015-2025.pdf#,geopolitical,NULL,yes,yes,NULL,restoration and improvement,waterquality and quantity,"protect imperiled species, remove invasive species",recreational opportunities,NULL,CP,,,,,
125,468,"Florida Keys Wildlife and Environmental Area DRAFT Management Plan 2015 - 2025 Management Intent, Goals and Objectives, Challenges and Strategies",2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/2974898/KeysWEADraft.pdf#,geopolitical,NULL,yes,yes,NULL,restoration and improvement,water quality and quantity,"protect imperiled species, remove invasive species",recreational opportunities,NULL,CP,,,,,
126,469,"A Guide to Climate Change Adaptation for Conservation: Resources and Tools for Climate Smart Management of Florida’s Fish and Wildlife Species and Their Habitats: Version 1
",2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3794360/adaptation-guide.pdf#,geopolitical,NULL,NULL,NULL,yes,climate change adaptations,climate change adaptations,climate change adaptations,climate change adaptations,climate change adaptations ,ST,,,,,
127,470,Florida Fish and Wildlife Conservation Commission Agency Strategic Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://strategicplan.myfwc.com/fwc-stratplan.pdf#,geopoltical,NULL,NULL,NULL,yes,intiatives,intiatives,initiatives,initiatives,initiatives ,ST,,,,,
128,471,Florida Manatee Management Plan (Trichechus manatus latirostris),2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/214332/Manatee_Mgmt_Plan.pdf#,geopolitical,NULL,NULL,yes,yes,monitor seagrasses and freshwater vegetation,establihs minimum flows at springs,protect the manatee,reduce human cause manatee mortality,NULL,ST,,,,,
129,472,Florida's Imperiled Species Management Plan 2016-2026,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/4133167/floridas-imperiled-species-management-plan-2016-2026.pdf#,geopolitical,NULL,yes,yes,yes,NULL,NULL,objectives pertaining to 57 imperiled species,NULL,NULL,ST,,,,,
130,473,Seagrass Integrated Mapping and Monitoring Program Mapping and Monitoring Report No. 2 ,2018-02-27,FL Fish and Wildlife Conservation Commission,http://f50006a.eos-intl.net/ELIBSQL12_F50006A_Documents/SIMM Report 2_Final_040317-crop for printing.pdf#,geomorphological,NULL,NULL,NULL,yes,provide mapping and monitoring of seagrasses,NULL,NULL,NULL,NULL,CH,,,,,
131,474,State of Florida Artificial Reef Strategic Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/131588/FLARStrategicPlan2.pdf#,geomorphological,NULL,NULL,NULL,yes,NULL,NULL,"protect, restore, and maintain the reefs",NULL,NULL,CH,,,,,
132,475,Waterfowl Management Strategic Plan,2018-02-27,FL Fish and Wildlife Conservation Commission,http://myfwc.com/media/3073237/waterfowl-strategic-plan.pdf#,geopolitical,NULL,NULL,NULL,yes,protect habitat,NULL,conserve waterfowl,education and outreach,NULL,ST,,,,,
133,476,Critical Lands and Waters Identification Project (CLIP) v. 4.0,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.fnai.org/pdf/CLIP_v4_technical_report.pdf#,geopolitical,NULL,NULL,NULL,yes,GIS database with 20 core natural resources,GIS databse with 20 core natural resources,NULL,NULL,NULL,ST,,,,,
134,477,DRAFT Ten-Year Land Management Plan for the Point Washington State Forest,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.waltonoutdoors.com/wp-content/uploads/2016/03/Point_Washington_State_Forest_LMP_Draft_02-22-2016.pdf#,geopolitical,NULL,yes,yes,NULL,"protect and restore habitat, fire management",hydrological preservation and restoration,"protect imperiled species, remove invasive species",funding for recreation,NULL,CP,,,,,
135,478,"Ten-Year Resource Management Plan for The Tate's Hell State Forest, Franklin and Liberty Counties",2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.freshfromflorida.com/content/download/4904/31197/THSF FINAL 2007 PLAN.pdf#,geopolitical,NULL,yes,yes,NULL,"protect and restore habitat, fire management",hydrological preservation and restoration,"protect imperiled species, remove invasive species",recreational opportunities ,NULL,REG,,,,,
136,479,"Ten-Year Resource Management Plan for the Withlacoochee State Forest, Citrus, Hernando, Lake, Pasco, and Sumter Counties",2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.freshfromflorida.com/content/download/59644/1182419/WSF_2015_RMP_10_Year.pdf#,geopolitical,NULL,yes,yes,NULL,"protect and restore habitat, erosion control, boundary resolution",hydrological restoration,"protect imperiled species, remove invasive species","evaluate access, recreational opportunities",NULL,REG,,,,,
